eveWatchLevel,eveWaveHeight,eveWaveLevel,eveWaveTime,mornWatchLevel,mornWaveHeight,mornWaveLevel,mornWaveTime,cxLevel,date,lunarDate,publishTime,station
二星,0.6,4.7,16:46,三星,1.0,5.5,03:53,中潮汛,8月2日,七月初五,2022年08月02日10时,七堡
二星,0.5,4.7,17:00,三星,0.9,5.5,04:05,中潮汛,8月2日,七月初五,2022年08月02日10时,三堡
二星,0.7,4.8,16:15,三星,1.1,5.6,03:24,中潮汛,8月2日,七月初五,2022年08月02日10时,下沙大桥
一星,0.3,4.7,17:37,二星,0.7,5.4,04:39,中潮汛,8月2日,七月初五,2022年08月02日10时,九溪
一星,0.4,4.7,17:19,三星,0.8,5.5,04:23,中潮汛,8月2日,七月初五,2022年08月02日10时,南星桥
一星,0.5,4.7,17:05,三星,0.9,5.5,04:11,中潮汛,8月2日,七月初五,2022年08月02日10时,城市阳台
三星,1.0,∕,14:47,五星,1.6,∕,02:02,中潮汛,8月2日,七月初五,2022年08月02日10时,大江东八工段（盐官）
三星,0.8,4.9,16:00,四星,1.2,5.7,03:10,中潮汛,8月2日,七月初五,2022年08月02日10时,萧山观潮城
二星,0.6,4.7,16:46,三星,1.0,5.5,03:53,中潮汛,8月2日,七月初五,2022年08月02日11时,七堡
二星,0.5,4.7,17:00,三星,0.9,5.5,04:05,中潮汛,8月2日,七月初五,2022年08月02日11时,三堡
二星,0.7,4.8,16:15,三星,1.1,5.6,03:24,中潮汛,8月2日,七月初五,2022年08月02日11时,下沙大桥
一星,0.3,4.7,17:37,二星,0.7,5.4,04:39,中潮汛,8月2日,七月初五,2022年08月02日11时,九溪
一星,0.4,4.7,17:19,三星,0.8,5.5,04:23,中潮汛,8月2日,七月初五,2022年08月02日11时,南星桥
一星,0.5,4.7,17:05,三星,0.9,5.5,04:11,中潮汛,8月2日,七月初五,2022年08月02日11时,城市阳台
三星,1.0,∕,14:47,五星,1.6,∕,02:02,中潮汛,8月2日,七月初五,2022年08月02日11时,大江东八工段（盐官）
三星,0.8,4.9,16:00,四星,1.2,5.7,03:10,中潮汛,8月2日,七月初五,2022年08月02日11时,萧山观潮城
二星,0.6,4.7,16:46,三星,1.0,5.5,03:53,中潮汛,8月2日,七月初五,2022年08月02日12时,七堡
二星,0.5,4.7,17:00,三星,0.9,5.5,04:05,中潮汛,8月2日,七月初五,2022年08月02日12时,三堡
二星,0.7,4.8,16:15,三星,1.1,5.6,03:24,中潮汛,8月2日,七月初五,2022年08月02日12时,下沙大桥
一星,0.3,4.7,17:37,二星,0.7,5.4,04:39,中潮汛,8月2日,七月初五,2022年08月02日12时,九溪
一星,0.4,4.7,17:19,三星,0.8,5.5,04:23,中潮汛,8月2日,七月初五,2022年08月02日12时,南星桥
一星,0.5,4.7,17:05,三星,0.9,5.5,04:11,中潮汛,8月2日,七月初五,2022年08月02日12时,城市阳台
三星,1.0,∕,14:47,五星,1.6,∕,02:02,中潮汛,8月2日,七月初五,2022年08月02日12时,大江东八工段（盐官）
三星,0.8,4.9,16:00,四星,1.2,5.7,03:10,中潮汛,8月2日,七月初五,2022年08月02日12时,萧山观潮城
二星,0.6,4.7,16:46,三星,1.0,5.5,03:53,中潮汛,8月2日,七月初五,2022年08月02日13时,七堡
二星,0.5,4.7,17:00,三星,0.9,5.5,04:05,中潮汛,8月2日,七月初五,2022年08月02日13时,三堡
二星,0.7,4.8,16:15,三星,1.1,5.6,03:24,中潮汛,8月2日,七月初五,2022年08月02日13时,下沙大桥
一星,0.3,4.7,17:37,二星,0.7,5.4,04:39,中潮汛,8月2日,七月初五,2022年08月02日13时,九溪
一星,0.4,4.7,17:19,三星,0.8,5.5,04:23,中潮汛,8月2日,七月初五,2022年08月02日13时,南星桥
一星,0.5,4.7,17:05,三星,0.9,5.5,04:11,中潮汛,8月2日,七月初五,2022年08月02日13时,城市阳台
三星,1.0,∕,14:47,五星,1.6,∕,02:02,中潮汛,8月2日,七月初五,2022年08月02日13时,大江东八工段（盐官）
三星,0.8,4.9,16:00,四星,1.2,5.7,03:10,中潮汛,8月2日,七月初五,2022年08月02日13时,萧山观潮城
一星,0.4,4.5,17:24,三星,0.8,5.3,04:28,中潮汛,8月3日,七月初六,2022年08月02日14时,七堡
一星,0.3,4.5,17:37,二星,0.7,5.3,04:41,中潮汛,8月3日,七月初六,2022年08月02日14时,三堡
二星,0.5,4.6,16:54,三星,0.9,5.4,03:59,中潮汛,8月3日,七月初六,2022年08月02日14时,下沙大桥
一星,0.1,4.4,18:13,一星,0.5,5.2,05:16,中潮汛,8月3日,七月初六,2022年08月02日14时,九溪
一星,0.2,4.5,17:56,二星,0.6,5.3,04:59,中潮汛,8月3日,七月初六,2022年08月02日14时,南星桥
一星,0.3,4.5,17:42,二星,0.7,5.3,04:46,中潮汛,8月3日,七月初六,2022年08月02日14时,城市阳台
二星,0.8,∕,15:30,四星,1.3,∕,02:37,中潮汛,8月3日,七月初六,2022年08月02日14时,大江东八工段（盐官）
二星,0.6,4.7,16:40,三星,1.0,5.5,03:45,中潮汛,8月3日,七月初六,2022年08月02日14时,萧山观潮城
一星,0.4,4.5,17:24,三星,0.8,5.3,04:28,中潮汛,8月3日,七月初六,2022年08月02日15时,七堡
一星,0.3,4.5,17:37,二星,0.7,5.3,04:41,中潮汛,8月3日,七月初六,2022年08月02日15时,三堡
二星,0.5,4.6,16:54,三星,0.9,5.4,03:59,中潮汛,8月3日,七月初六,2022年08月02日15时,下沙大桥
