,Unnamed: 0,eveWaveTime,mornWaveTime,sec,sec2
0,,,,,
1,1.0,0 days 00:33:00,0 days 00:30:00,0.55,0.5
2,1.0,0 days 00:48:00,0 days 01:05:00,0.8,1.083
3,1.0,0 days 01:40:00,0 days 01:38:00,1.667,1.633
4,1.0,0 days 03:11:00,0 days 04:51:00,3.183,4.85
5,1.0,0 days 01:45:00,0 days 00:50:00,1.75,0.833
6,1.0,0 days 00:01:00,-1 days +23:37:00,0.017,-0.383
7,1.0,-1 days +23:27:00,0 days 00:32:00,-0.55,0.533
8,1.0,0 days 00:26:00,0 days 00:18:00,0.433,0.3
9,1.0,0 days 00:43:00,0 days 00:13:00,0.717,0.217
10,1.0,0 days 00:26:00,0 days 00:18:00,0.433,0.3
11,1.0,0 days 00:37:00,0 days 00:22:00,0.617,0.367
12,1.0,0 days 00:24:00,0 days 00:17:00,0.4,0.283
13,1.0,0 days 00:59:00,0 days 01:05:00,0.983,1.083
14,1.0,0 days 01:24:00,0 days 00:54:00,1.4,0.9
15,1.0,-1 days +23:48:00,0 days 00:47:00,-0.2,0.783
16,1.0,0 days 01:43:00,0 days 00:46:00,1.717,0.767
17,1.0,0 days 01:45:00,0 days 01:47:00,1.75,1.783
18,1.0,0 days 03:06:00,0 days 02:15:00,3.1,2.25
19,1.0,0 days 01:10:00,0 days 01:48:00,1.167,1.8
20,1.0,0 days 00:53:00,-1 days +23:55:00,0.883,-0.083
21,1.0,0 days 00:26:00,0 days 00:54:00,0.433,0.9
22,1.0,0 days 00:14:00,-1 days +23:53:00,0.233,-0.117
23,1.0,0 days 00:12:00,-1 days +23:59:00,0.2,-0.017
24,1.0,-1 days +23:41:00,0 days 00:32:00,-0.317,0.533
25,1.0,0 days 00:21:00,0 days 00:29:00,0.35,0.483
26,1.0,0 days 00:21:00,0 days 00:18:00,0.35,0.3
27,1.0,0 days 00:25:00,0 days 00:34:00,0.417,0.567
28,1.0,0 days 00:40:00,0 days 00:54:00,0.667,0.9
29,1.0,0 days 00:21:00,0 days 00:21:00,0.35,0.35
