,Unnamed: 0,eveWaveTime,mornWaveTime,hour,hour1,date
0,,,,,,9月2日
1,1,0 days 00:35:00,0 days 00:31:00,0.583,0.517,9月3日
2,1,0 days 00:40:00,0 days 01:02:00,0.667,1.033,9月4日
3,1,0 days 01:35:00,0 days 01:33:00,1.583,1.55,9月5日
4,1,0 days 03:05:00,0 days 04:40:00,3.083,4.667,9月6日
5,1,0 days 01:45:00,0 days 00:50:00,1.75,0.833,9月7日
6,1,0 days 00:05:00,-1 days +23:40:00,0.083,-0.333,9月8日
7,1,-1 days +23:35:00,0 days 00:35:00,-0.417,0.583,9月9日
8,1,0 days 00:30:00,0 days 00:25:00,0.5,0.417,9月10日
9,1,0 days 00:47:00,0 days 00:19:00,0.783,0.317,9月11日
10,1,0 days 00:28:00,0 days 00:21:00,0.467,0.35,9月12日
11,1,0 days 00:39:00,0 days 00:23:00,0.65,0.383,9月13日
12,1,0 days 00:24:00,0 days 00:19:00,0.4,0.317,9月14日
13,1,0 days 00:52:00,0 days 01:00:00,0.867,1,9月15日
14,1,0 days 01:13:00,0 days 00:51:00,1.217,0.85,9月16日
15,1,-1 days +23:57:00,0 days 00:44:00,-0.05,0.733,9月17日
16,1,0 days 01:38:00,0 days 00:49:00,1.633,0.817,9月18日
17,1,0 days 01:37:00,0 days 01:41:00,1.617,1.683,9月19日
18,1,0 days 03:10:00,0 days 02:10:00,3.167,2.167,9月20日
19,1,0 days 01:05:00,0 days 01:38:00,1.083,1.633,9月21日
20,1,0 days 00:50:00,-1 days +23:55:00,0.833,-0.083,9月22日
21,1,0 days 00:28:00,0 days 00:57:00,0.467,0.95,9月23日
22,1,0 days 00:17:00,0 days 00:01:00,0.283,0.017,9月24日
23,1,0 days 00:20:00,0 days 00:04:00,0.333,0.067,9月25日
24,1,-1 days +23:44:00,0 days 00:35:00,-0.267,0.583,9月26日
25,1,0 days 00:24:00,0 days 00:31:00,0.4,0.517,9月27日
26,1,0 days 00:27:00,0 days 00:25:00,0.45,0.417,9月28日
27,1,0 days 00:20:00,0 days 00:29:00,0.333,0.483,9月29日
28,1,0 days 00:40:00,0 days 00:53:00,0.667,0.883,9月30日
29,1,0 days 00:20:00,0 days 00:20:00,0.333,0.333,10月1日
30,1,0 days 00:42:00,0 days 01:03:00,0.7,1.05,10月2日
31,1,0 days 00:54:00,0 days 00:55:00,0.9,0.917,10月3日
32,1,0 days 02:14:00,0 days 02:29:00,2.233,2.483,10月4日
33,1,0 days 02:06:00,0 days 02:38:00,2.1,2.633,10月5日
34,1,0 days 01:04:00,0 days 01:05:00,1.067,1.083,10月6日
35,1,0 days 01:07:00,0 days 00:15:00,1.117,0.25,10月7日
36,1,0 days 00:03:00,0 days 00:40:00,0.05,0.667,10月8日
37,1,0 days 00:27:00,0 days 00:20:00,0.45,0.333,10月9日
38,1,0 days 00:34:00,0 days 00:30:00,0.567,0.5,10月10日
39,1,0 days 00:36:00,0 days 00:25:00,0.6,0.417,10月11日
40,1,0 days 00:30:00,0 days 00:27:00,0.5,0.45,10月12日
41,1,0 days 00:42:00,0 days 00:29:00,0.7,0.483,10月13日
42,1,0 days 00:08:00,0 days 00:11:00,0.133,0.183,10月14日
43,1,0 days 00:43:00,0 days 00:33:00,0.717,0.55,10月15日
44,1,0 days 00:57:00,0 days 00:52:00,0.95,0.867,10月16日
45,1,0 days 01:38:00,0 days 01:05:00,1.633,1.083,10月17日
46,1,0 days 02:05:00,0 days 01:38:00,2.083,1.633,10月18日
47,1,0 days 01:55:00,0 days 02:00:00,1.917,2,10月19日
48,1,0 days 01:40:00,0 days 01:35:00,1.667,1.583,10月20日
49,1,0 days 00:20:00,0 days 01:05:00,0.333,1.083,10月21日
50,1,0 days 00:35:00,0 days 00:10:00,0.583,0.167,10月22日
51,1,0 days 00:15:00,0 days 00:21:00,0.25,0.35,10月23日
52,1,0 days 00:33:00,0 days 00:30:00,0.55,0.5,10月24日
53,1,0 days 00:06:00,0 days 00:02:00,0.1,0.033,10月25日
54,1,0 days 00:02:00,0 days 00:27:00,0.033,0.45,10月26日
55,1,0 days 00:12:00,0 days 00:29:00,0.2,0.483,10月27日
56,1,0 days 00:31:00,0 days 00:24:00,0.517,0.4,10月28日
57,1,0 days 00:30:00,0 days 00:41:00,0.5,0.683,10月29日
58,1,0 days 00:54:00,0 days 01:05:00,0.9,1.083,10月30日
59,1,0 days 00:52:00,0 days 00:51:00,0.867,0.85,10月31日
60,1,0 days 00:45:00,0 days 01:35:00,0.75,1.583,11月1日
61,1,0 days 02:37:00,0 days 02:08:00,2.617,2.133,11月2日
62,1,0 days 02:38:00,0 days 02:22:00,2.633,2.367,11月3日
63,1,0 days 00:36:00,0 days 01:00:00,0.6,1,11月4日
64,1,0 days 00:34:00,0 days 00:15:00,0.567,0.25,11月5日
