,Unnamed: 0,eveWaveTime,mornWaveTime,Unnamed: 3,sec,sec2
0,,,,,,
1,1.0,0 days 00:34:00,0 days 00:30:00,,0.567,0.5
2,1.0,0 days 00:43:00,0 days 01:03:00,,0.717,1.05
3,1.0,0 days 01:36:00,0 days 01:35:00,,1.6,1.583
4,1.0,0 days 03:07:00,0 days 04:43:00,,3.117,4.717
5,1.0,0 days 01:45:00,0 days 00:50:00,,1.75,0.833
6,1.0,0 days 00:04:00,-1 days +23:39:00,,0.067,-0.35
7,1.0,-1 days +23:33:00,0 days 00:34:00,,-0.45,0.567
8,1.0,0 days 00:29:00,0 days 00:23:00,,0.483,0.383
9,1.0,0 days 00:45:00,0 days 00:18:00,,0.75,0.3
10,1.0,0 days 00:28:00,0 days 00:20:00,,0.467,0.333
11,1.0,0 days 00:38:00,0 days 00:22:00,,0.633,0.367
12,1.0,0 days 00:24:00,0 days 00:19:00,,0.4,0.317
13,1.0,0 days 00:54:00,0 days 01:01:00,,0.9,1.017
14,1.0,0 days 01:16:00,0 days 00:52:00,,1.267,0.867
15,1.0,-1 days +23:55:00,0 days 00:45:00,,-0.083,0.75
16,1.0,0 days 01:39:00,0 days 00:48:00,,1.65,0.8
17,1.0,0 days 01:39:00,0 days 01:43:00,,1.65,1.717
18,1.0,0 days 03:09:00,0 days 02:11:00,,3.15,2.183
19,1.0,0 days 01:07:00,0 days 01:42:00,,1.117,1.7
20,1.0,0 days 00:51:00,-1 days +23:55:00,,0.85,-0.083
21,1.0,0 days 00:27:00,0 days 00:56:00,,0.45,0.933
22,1.0,0 days 00:16:00,-1 days +23:58:00,,0.267,-0.033
23,1.0,0 days 00:18:00,0 days 00:03:00,,0.3,0.05
24,1.0,-1 days +23:43:00,0 days 00:34:00,,-0.283,0.567
25,1.0,0 days 00:23:00,0 days 00:30:00,,0.383,0.5
26,1.0,0 days 00:26:00,0 days 00:23:00,,0.433,0.383
27,1.0,0 days 00:21:00,0 days 00:31:00,,0.35,0.517
28,1.0,0 days 00:40:00,0 days 00:53:00,,0.667,0.883
29,1.0,0 days 00:20:00,0 days 00:20:00,,0.333,0.333
30,1.0,0 days 00:42:00,0 days 01:03:00,,0.7,1.05
31,1.0,0 days 00:55:00,0 days 00:57:00,,0.917,0.95
32,1.0,0 days 02:16:00,0 days 02:30:00,,2.267,2.5
33,1.0,0 days 02:06:00,0 days 02:38:00,,2.1,2.633
34,1.0,0 days 01:06:00,0 days 01:05:00,,1.1,1.083
35,1.0,0 days 01:08:00,0 days 00:14:00,,1.133,0.233
36,1.0,0 days 00:02:00,0 days 00:45:00,,0.033,0.75
