,Unnamed: 0,eveWaveTime,mornWaveTime,sec,sec2
0,,,,,
1,1.0,0 days 00:31:00,0 days 00:31:00,0.517,0.517
2,1.0,0 days 00:40:00,0 days 01:00:00,0.667,1.0
3,1.0,0 days 01:32:00,0 days 01:31:00,1.533,1.517
4,1.0,0 days 03:02:00,0 days 04:34:00,3.033,4.567
5,1.0,0 days 01:45:00,0 days 00:50:00,1.75,0.833
6,1.0,0 days 00:05:00,-1 days +23:40:00,0.083,-0.333
7,1.0,-1 days +23:38:00,0 days 00:35:00,-0.367,0.583
8,1.0,0 days 00:37:00,0 days 00:28:00,0.617,0.467
9,1.0,0 days 00:49:00,0 days 00:26:00,0.817,0.433
10,1.0,0 days 00:29:00,0 days 00:24:00,0.483,0.4
11,1.0,0 days 00:40:00,0 days 00:24:00,0.667,0.4
12,1.0,0 days 00:24:00,0 days 00:20:00,0.4,0.333
13,1.0,0 days 00:48:00,0 days 00:55:00,0.8,0.917
14,1.0,0 days 01:04:00,0 days 00:52:00,1.067,0.867
15,1.0,0 days 00:06:00,0 days 00:41:00,0.1,0.683
16,1.0,0 days 01:32:00,0 days 00:50:00,1.533,0.833
17,1.0,0 days 01:33:00,0 days 01:34:00,1.55,1.567
18,1.0,0 days 03:03:00,0 days 02:03:00,3.05,2.05
19,1.0,0 days 01:02:00,0 days 01:33:00,1.033,1.55
20,1.0,0 days 00:56:00,-1 days +23:58:00,0.933,-0.033
21,1.0,0 days 00:30:00,0 days 00:59:00,0.5,0.983
22,1.0,0 days 00:19:00,0 days 00:07:00,0.317,0.117
23,1.0,0 days 00:20:00,0 days 00:08:00,0.333,0.133
24,1.0,-1 days +23:51:00,0 days 00:38:00,-0.15,0.633
25,1.0,0 days 00:25:00,0 days 00:31:00,0.417,0.517
26,1.0,0 days 00:29:00,0 days 00:28:00,0.483,0.467
27,1.0,0 days 00:20:00,0 days 00:30:00,0.333,0.5
28,1.0,0 days 00:40:00,0 days 00:51:00,0.667,0.85
29,1.0,0 days 00:20:00,0 days 00:20:00,0.333,0.333
30,1.0,0 days 00:40:00,0 days 01:01:00,0.667,1.017
31,1.0,0 days 00:52:00,0 days 00:51:00,0.867,0.85
32,1.0,0 days 02:11:00,0 days 02:30:00,2.183,2.5
33,1.0,0 days 02:02:00,0 days 02:33:00,2.033,2.55
34,1.0,0 days 01:01:00,0 days 01:01:00,1.017,1.017
35,1.0,0 days 01:03:00,0 days 00:19:00,1.05,0.317
36,1.0,0 days 00:07:00,0 days 00:33:00,0.117,0.55
37,1.0,0 days 00:36:00,0 days 00:27:00,0.6,0.45
38,1.0,0 days 00:38:00,0 days 00:36:00,0.633,0.6
39,1.0,0 days 00:39:00,0 days 00:29:00,0.65,0.483
40,1.0,0 days 00:30:00,0 days 00:29:00,0.5,0.483
41,1.0,0 days 00:40:00,0 days 00:29:00,0.667,0.483
42,1.0,0 days 00:10:00,0 days 00:11:00,0.167,0.183
43,1.0,0 days 00:41:00,0 days 00:31:00,0.683,0.517
44,1.0,0 days 00:52:00,0 days 00:50:00,0.867,0.833
45,1.0,0 days 01:33:00,0 days 01:02:00,1.55,1.033
46,1.0,0 days 02:01:00,0 days 01:33:00,2.017,1.55
47,1.0,0 days 01:59:00,0 days 02:00:00,1.983,2.0
48,1.0,0 days 01:33:00,0 days 01:31:00,1.55,1.517
49,1.0,0 days 00:27:00,0 days 01:09:00,0.45,1.15
50,1.0,0 days 00:31:00,0 days 00:10:00,0.517,0.167
51,1.0,0 days 00:19:00,0 days 00:13:00,0.317,0.217
52,1.0,0 days 00:24:00,0 days 00:30:00,0.4,0.5
53,1.0,0 days 00:15:00,0 days 00:14:00,0.25,0.233
54,1.0,0 days 00:08:00,0 days 00:29:00,0.133,0.483
55,1.0,0 days 00:17:00,0 days 00:33:00,0.283,0.55
56,1.0,0 days 00:30:00,0 days 00:25:00,0.5,0.417
57,1.0,0 days 00:30:00,0 days 00:40:00,0.5,0.667
58,1.0,0 days 00:52:00,0 days 01:02:00,0.867,1.033
59,1.0,0 days 00:50:00,0 days 00:50:00,0.833,0.833
60,1.0,0 days 00:42:00,0 days 01:25:00,0.7,1.417
61,1.0,0 days 02:39:00,0 days 02:16:00,2.65,2.267
62,1.0,0 days 02:33:00,0 days 02:08:00,2.55,2.133
63,1.0,0 days 00:32:00,0 days 01:00:00,0.533,1.0
64,1.0,0 days 00:38:00,0 days 00:25:00,0.633,0.417
65,1.0,0 days 00:39:00,0 days 01:00:00,0.65,1.0
66,1.0,0 days 00:28:00,-1 days +23:57:00,0.467,-0.05
67,1.0,0 days 00:39:00,0 days 00:30:00,0.65,0.5
68,1.0,0 days 00:29:00,0 days 00:28:00,0.483,0.467
69,1.0,0 days 00:39:00,0 days 00:29:00,0.65,0.483
70,1.0,0 days 00:32:00,0 days 00:31:00,0.533,0.517
71,1.0,0 days 00:51:00,0 days 00:30:00,0.85,0.5
72,1.0,0 days 01:03:00,0 days 01:03:00,1.05,1.05
73,1.0,0 days 01:31:00,0 days 01:02:00,1.517,1.033
74,1.0,0 days 01:59:00,0 days 01:31:00,1.983,1.517
75,1.0,0 days 02:01:00,0 days 03:02:00,2.017,3.033
76,1.0,0 days 00:59:00,0 days 00:27:00,0.983,0.45
77,1.0,0 days 01:01:00,0 days 01:01:00,1.017,1.017
78,1.0,-1 days +23:19:00,0 days 00:24:00,-0.683,0.4
79,1.0,0 days 00:28:00,-1 days +23:56:00,0.467,-0.067
80,1.0,0 days 00:23:00,0 days 00:09:00,0.383,0.15
81,1.0,-1 days +23:58:00,0 days 00:20:00,-0.033,0.333
82,1.0,0 days 00:27:00,0 days 00:48:00,0.45,0.8
83,1.0,0 days 00:30:00,0 days 00:18:00,0.5,0.3
84,1.0,0 days 00:40:00,0 days 00:50:00,0.667,0.833
85,1.0,0 days 00:40:00,0 days 00:50:00,0.667,0.833
86,1.0,0 days 00:41:00,0 days 00:52:00,0.683,0.867
87,1.0,0 days 01:10:00,0 days 01:30:00,1.167,1.5
88,1.0,0 days 01:10:00,0 days 01:05:00,1.167,1.083
89,1.0,0 days 02:03:00,0 days 03:00:00,2.05,3.0
90,1.0,0 days 02:25:00,0 days 01:32:00,2.417,1.533
91,1.0,0 days 01:01:00,0 days 00:48:00,1.017,0.8
92,1.0,0 days 00:09:00,0 days 00:10:00,0.15,0.167
93,1.0,0 days 00:09:00,-1 days +23:58:00,0.15,-0.033
94,1.0,0 days 00:37:00,0 days 00:22:00,0.617,0.367
95,1.0,0 days 00:39:00,0 days 00:36:00,0.65,0.6
96,1.0,0 days 00:42:00,0 days 00:32:00,0.7,0.533
97,1.0,0 days 00:51:00,0 days 00:29:00,0.85,0.483
98,1.0,0 days 00:19:00,0 days 00:29:00,0.317,0.483
99,1.0,0 days 00:28:00,0 days 00:28:00,0.467,0.467
100,1.0,0 days 00:31:00,0 days 00:41:00,0.517,0.683
101,1.0,0 days 01:15:00,0 days 00:42:00,1.25,0.7
102,1.0,0 days 01:25:00,0 days 01:10:00,1.417,1.167
103,1.0,0 days 00:30:00,0 days 00:32:00,0.5,0.533
104,1.0,0 days 02:00:00,0 days 02:01:00,2.0,2.017
105,1.0,0 days 02:00:00,0 days 01:00:00,2.0,1.0
106,1.0,0 days 00:47:00,0 days 01:27:00,0.783,1.45
107,1.0,-1 days +23:57:00,0 days 01:03:00,-0.05,1.05
108,1.0,0 days 00:15:00,-1 days +23:57:00,0.25,-0.05
109,1.0,0 days 00:28:00,0 days 00:29:00,0.467,0.483
110,1.0,-1 days +23:52:00,0 days 00:24:00,-0.133,0.4
