,Unnamed: 0,eveWaveTime,mornWaveTime,sec,sec2
0,,,,,
1,1.0,0 days 00:35:00,0 days 00:31:00,0.583,0.517
2,1.0,0 days 00:43:00,0 days 01:02:00,0.717,1.033
3,1.0,0 days 01:37:00,0 days 01:36:00,1.617,1.6
4,1.0,0 days 03:08:00,0 days 04:45:00,3.133,4.75
5,1.0,0 days 01:45:00,0 days 00:50:00,1.75,0.833
6,1.0,0 days 00:03:00,-1 days +23:39:00,0.05,-0.35
7,1.0,-1 days +23:32:00,0 days 00:33:00,-0.467,0.55
8,1.0,0 days 00:28:00,0 days 00:22:00,0.467,0.367
9,1.0,0 days 00:46:00,0 days 00:17:00,0.767,0.283
10,1.0,0 days 00:27:00,0 days 00:20:00,0.45,0.333
11,1.0,0 days 00:38:00,0 days 00:22:00,0.633,0.367
12,1.0,0 days 00:24:00,0 days 00:18:00,0.4,0.3
13,1.0,0 days 00:54:00,0 days 01:03:00,0.9,1.05
14,1.0,0 days 01:18:00,0 days 00:51:00,1.3,0.85
15,1.0,-1 days +23:53:00,0 days 00:46:00,-0.117,0.767
16,1.0,0 days 01:41:00,0 days 00:47:00,1.683,0.783
17,1.0,0 days 01:40:00,0 days 01:44:00,1.667,1.733
18,1.0,0 days 03:08:00,0 days 02:12:00,3.133,2.2
19,1.0,0 days 01:08:00,0 days 01:43:00,1.133,1.717
20,1.0,0 days 00:51:00,-1 days +23:55:00,0.85,-0.083
21,1.0,0 days 00:27:00,0 days 00:56:00,0.45,0.933
22,1.0,0 days 00:16:00,-1 days +23:57:00,0.267,-0.05
23,1.0,0 days 00:16:00,0 days 00:02:00,0.267,0.033
24,1.0,-1 days +23:43:00,0 days 00:33:00,-0.283,0.55
25,1.0,0 days 00:22:00,0 days 00:30:00,0.367,0.5
26,1.0,0 days 00:26:00,0 days 00:23:00,0.433,0.383
27,1.0,0 days 00:21:00,0 days 00:31:00,0.35,0.517
28,1.0,0 days 00:40:00,0 days 00:53:00,0.667,0.883
29,1.0,0 days 00:20:00,0 days 00:20:00,0.333,0.333
30,1.0,0 days 00:42:00,0 days 01:03:00,0.7,1.05
31,1.0,0 days 00:56:00,0 days 00:58:00,0.933,0.967
32,1.0,0 days 02:17:00,0 days 02:30:00,2.283,2.5
33,1.0,0 days 02:06:00,0 days 02:38:00,2.1,2.633
34,1.0,0 days 01:07:00,0 days 01:06:00,1.117,1.1
35,1.0,0 days 01:08:00,0 days 00:14:00,1.133,0.233
36,1.0,0 days 00:02:00,0 days 00:46:00,0.033,0.767
37,1.0,0 days 00:21:00,0 days 00:15:00,0.35,0.25
38,1.0,0 days 00:32:00,0 days 00:28:00,0.533,0.467
39,1.0,0 days 00:36:00,0 days 00:22:00,0.6,0.367
40,1.0,0 days 00:30:00,0 days 00:26:00,0.5,0.433
41,1.0,0 days 00:42:00,0 days 00:29:00,0.7,0.483
42,1.0,0 days 00:08:00,0 days 00:12:00,0.133,0.2
43,1.0,0 days 00:43:00,0 days 00:33:00,0.717,0.55
44,1.0,0 days 01:00:00,0 days 00:53:00,1.0,0.883
45,1.0,0 days 01:38:00,0 days 01:07:00,1.633,1.117
46,1.0,0 days 02:07:00,0 days 01:40:00,2.117,1.667
47,1.0,0 days 01:58:00,0 days 02:01:00,1.967,2.017
48,1.0,0 days 01:42:00,0 days 01:38:00,1.7,1.633
49,1.0,0 days 00:20:00,0 days 01:04:00,0.333,1.067
50,1.0,0 days 00:33:00,0 days 00:09:00,0.55,0.15
51,1.0,0 days 00:12:00,0 days 00:19:00,0.2,0.317
52,1.0,0 days 00:29:00,0 days 00:29:00,0.483,0.483
53,1.0,0 days 00:09:00,0 days 00:01:00,0.15,0.017
54,1.0,0 days 00:10:00,0 days 00:54:00,0.167,0.9
55,1.0,0 days 00:31:00,0 days 00:23:00,0.517,0.383
56,1.0,0 days 00:31:00,0 days 00:42:00,0.517,0.7
57,1.0,0 days 00:55:00,0 days 01:06:00,0.917,1.1
58,1.0,0 days 00:53:00,0 days 00:52:00,0.883,0.867
59,1.0,0 days 00:46:00,0 days 01:37:00,0.767,1.617
60,1.0,0 days 02:34:00,0 days 02:05:00,2.567,2.083
61,1.0,0 days 02:42:00,0 days 02:28:00,2.7,2.467
62,1.0,0 days 00:38:00,0 days 01:00:00,0.633,1.0
63,1.0,0 days 00:32:00,0 days 00:15:00,0.533,0.25
64,1.0,0 days 00:36:00,0 days 01:00:00,0.6,1.0
65,1.0,0 days 00:22:00,-1 days +23:48:00,0.367,-0.2
66,1.0,0 days 00:39:00,0 days 00:28:00,0.65,0.467
67,1.0,0 days 00:23:00,0 days 00:21:00,0.383,0.35
68,1.0,0 days 00:40:00,0 days 00:27:00,0.667,0.45
69,1.0,0 days 00:35:00,0 days 00:35:00,0.583,0.583
70,1.0,0 days 00:55:00,0 days 00:31:00,0.917,0.517
71,1.0,0 days 01:15:00,0 days 01:12:00,1.25,1.2
72,1.0,0 days 01:35:00,0 days 01:08:00,1.583,1.133
73,1.0,0 days 01:50:00,0 days 01:35:00,1.833,1.583
74,1.0,0 days 02:08:00,0 days 03:06:00,2.133,3.1
75,1.0,0 days 00:57:00,0 days 00:21:00,0.95,0.35
76,1.0,0 days 01:05:00,0 days 01:05:00,1.083,1.083
77,1.0,-1 days +23:13:00,0 days 00:30:00,-0.783,0.5
78,1.0,0 days 00:22:00,-1 days +23:43:00,0.367,-0.283
79,1.0,0 days 00:33:00,0 days 00:06:00,0.55,0.1
80,1.0,-1 days +23:48:00,0 days 00:14:00,-0.2,0.233
81,1.0,0 days 00:21:00,0 days 00:50:00,0.35,0.833
82,1.0,0 days 00:27:00,0 days 00:10:00,0.45,0.167
83,1.0,0 days 00:42:00,0 days 00:51:00,0.7,0.85
84,1.0,0 days 00:38:00,0 days 00:52:00,0.633,0.867
85,1.0,0 days 00:45:00,0 days 00:57:00,0.75,0.95
86,1.0,0 days 01:11:00,0 days 01:30:00,1.183,1.5
87,1.0,0 days 01:09:00,0 days 01:20:00,1.15,1.333
88,1.0,0 days 02:14:00,0 days 03:02:00,2.233,3.033
89,1.0,0 days 02:32:00,0 days 01:36:00,2.533,1.6
90,1.0,0 days 01:08:00,0 days 00:39:00,1.133,0.65
91,1.0,0 days 00:05:00,0 days 00:10:00,0.083,0.167
92,1.0,0 days 00:06:00,-1 days +23:56:00,0.1,-0.067
93,1.0,0 days 00:34:00,0 days 00:29:00,0.567,0.483
94,1.0,0 days 00:35:00,0 days 00:24:00,0.583,0.4
95,1.0,0 days 00:41:00,0 days 00:33:00,0.683,0.55
96,1.0,0 days 00:53:00,0 days 00:25:00,0.883,0.417
97,1.0,0 days 00:24:00,0 days 00:30:00,0.4,0.5
98,1.0,0 days 00:22:00,0 days 00:25:00,0.367,0.417
99,1.0,0 days 00:30:00,0 days 00:41:00,0.5,0.683
100,1.0,0 days 01:25:00,0 days 00:46:00,1.417,0.767
101,1.0,0 days 01:20:00,0 days 01:14:00,1.333,1.233
102,1.0,0 days 00:27:00,0 days 00:36:00,0.45,0.6
103,1.0,0 days 02:00:00,0 days 02:01:00,2.0,2.017
104,1.0,0 days 02:05:00,0 days 01:07:00,2.083,1.117
105,1.0,0 days 00:35:00,0 days 01:16:00,0.583,1.267
106,1.0,0 days 00:17:00,0 days 01:14:00,0.283,1.233
107,1.0,0 days 00:01:00,-1 days +23:46:00,0.017,-0.233
108,1.0,0 days 00:24:00,0 days 00:27:00,0.4,0.45
109,1.0,-1 days +23:54:00,0 days 00:35:00,-0.1,0.583
110,1.0,0 days 01:14:00,0 days 00:34:00,1.233,0.567
111,1.0,0 days 00:06:00,0 days 01:20:00,0.1,1.333
112,1.0,0 days 00:50:00,0 days 00:37:00,0.833,0.617
113,1.0,0 days 00:59:00,0 days 00:48:00,0.983,0.8
114,1.0,0 days 00:33:00,0 days 00:14:00,0.55,0.233
115,1.0,0 days 00:36:00,0 days 00:48:00,0.6,0.8
116,1.0,0 days 00:53:00,0 days 01:16:00,0.883,1.267
117,1.0,0 days 01:58:00,0 days 02:08:00,1.967,2.133
118,1.0,0 days 01:30:00,0 days 01:25:00,1.5,1.417
